index,date,lat,lon,alt,device,os,version
177,3/4/13 12:26,38.89203262,-76.99569702,33.44967651,"iPhone5,1",6.0.1,1.1
178,3/4/13 12:35,38.8922081,-77.01258087,32,"iPhone5,1",6.0.1,1.1
179,3/4/13 12:43,38.89208984,-77.0266571,32,"iPhone5,1",6.0.1,1.1
180,3/4/13 12:50,38.8878479,-77.04412842,32,"iPhone5,1",6.0.1,1.1
181,3/4/13 12:54,38.8938446,-77.04385376,32,"iPhone5,1",6.0.1,1.1
182,3/4/13 13:07,38.90274811,-77.05371094,26.06504631,"iPhone5,1",6.0.1,1.1
183,3/4/13 13:17,38.89835739,-77.07154083,50.82556152,"iPhone5,1",6.0.1,1.1
184,3/5/13 1:14,38.9045105,-77.05625153,63.64411926,"iPhone5,1",6.0.1,1.1
185,3/5/13 1:25,38.90066528,-77.04892731,56.85320282,"iPhone5,1",6.0.1,1.1
186,3/5/13 1:42,38.89825439,-77.02313995,46.74230957,"iPhone5,1",6.0.1,1.1
187,3/5/13 1:50,38.89749527,-77.00637817,42.47860718,"iPhone5,1",6.0.1,1.1
188,3/5/13 2:05,38.8964386,-76.98466492,33.65005493,"iPhone5,1",6.0.1,1.1
189,3/5/13 12:45,38.89255524,-77.00914001,32,"iPhone5,1",6.0.1,1.1
190,3/5/13 12:58,38.89169693,-77.03189087,32,"iPhone5,1",6.0.1,1.1
191,3/5/13 13:07,38.89710236,-77.04966736,40.73767853,"iPhone5,1",6.0.1,1.1
192,3/5/13 13:13,38.90459442,-77.05654144,56.74808884,"iPhone5,1",6.0.1,1.1
193,3/5/13 13:39,38.89762115,-77.07085419,54.27302551,"iPhone5,1",6.0.1,1.1
194,3/5/13 23:23,38.90524292,-77.06097412,62.17395782,"iPhone5,1",6.0.1,1.1
195,3/5/13 23:49,38.89218521,-77.02412415,57.50067139,"iPhone5,1",6.0.1,1.1
196,3/6/13 0:08,38.88957977,-77.00428009,32,"iPhone5,1",6.0.1,1.1
197,3/6/13 0:23,38.89515686,-76.98526764,35.12503052,"iPhone5,1",6.0.1,1.1
198,3/6/13 4:26,38.89650345,-76.98552704,28.55486488,"iPhone5,1",6.0.1,1.1
199,3/7/13 13:20,38.89042664,-76.98945618,34.10857773,"iPhone5,1",6.0.1,1.1
200,3/7/13 13:28,38.88711548,-76.99511719,33.39094925,"iPhone5,1",6.0.1,1.1
201,3/7/13 13:54,38.89638519,-77.07128906,27.28248787,"iPhone5,1",6.0.1,1.1
202,3/8/13 1:18,38.87046814,-77.06851196,63.74107361,"iPhone5,1",6.0.1,1.1
203,3/8/13 1:27,38.89749908,-77.04976654,63.74107361,"iPhone5,1",6.0.1,1.1
204,3/8/13 1:55,38.89596176,-77.03328705,42.67046356,"iPhone5,1",6.0.1,1.1
205,3/8/13 2:01,38.88742828,-77.00154877,42.67046356,"iPhone5,1",6.0.1,1.1
206,3/8/13 2:14,38.89044952,-76.99034882,37.90454483,"iPhone5,1",6.0.1,1.1
207,3/8/13 2:27,38.89648438,-76.98544312,28.52939796,"iPhone5,1",6.0.1,1.1
208,3/8/13 12:22,38.89606476,-76.99834442,33.70472336,"iPhone5,1",6.0.1,1.1
209,3/8/13 12:43,38.89041138,-77.02642822,32,"iPhone5,1",6.0.1,1.1
210,3/8/13 12:58,38.89035034,-77.04154968,7.133792877,"iPhone5,1",6.0.1,1.1
211,3/8/13 13:05,38.89760208,-77.07086182,3.145137072,"iPhone5,1",6.0.1,1.1
212,3/8/13 23:00,38.9047699,-77.06238556,70.27029419,"iPhone5,1",6.0.1,1.1
213,3/8/13 23:15,38.89366531,-77.04970551,61.85247803,"iPhone5,1",6.0.1,1.1
214,3/8/13 23:25,38.89192963,-77.02416229,32,"iPhone5,1",6.0.1,1.1
215,3/8/13 23:40,38.89202499,-76.9980011,35,"iPhone5,1",6.0.1,1.1
216,3/8/13 23:49,38.89656448,-76.9855423,27.98563576,"iPhone5,1",6.0.1,1.1
217,3/9/13 2:16,38.89612579,-76.99163055,27.7499752,"iPhone5,1",6.0.1,1.1
218,3/9/13 2:31,38.89680099,-77.00530243,32,"iPhone5,1",6.0.1,1.1
219,3/9/13 2:50,38.90716171,-77.03804016,32,"iPhone5,1",6.0.1,1.1
220,3/9/13 2:54,38.90275192,-77.04167938,32.11119843,"iPhone5,1",6.0.1,1.1
221,3/9/13 3:05,38.90703583,-77.03633118,20.46414375,"iPhone5,1",6.0.1,1.1
222,3/9/13 4:20,38.90687561,-77.05673981,39.21128845,"iPhone5,1",6.0.1,1.1
223,3/9/13 5:15,38.90517807,-77.0657196,83,"iPhone5,1",6.0.1,1.1
224,3/9/13 6:06,38.90639496,-77.04288483,31.9270916,"iPhone5,1",6.0.1,1.1
225,3/9/13 6:19,38.89916229,-76.98538971,34.07751465,"iPhone5,1",6.0.1,1.1
226,3/11/13 12:26,38.89355469,-76.98964691,33.13574982,"iPhone5,1",6.0.1,1.1
227,3/11/13 12:35,38.88909149,-77.00869751,29.75392914,"iPhone5,1",6.0.1,1.1
228,3/11/13 12:58,38.89707184,-77.0683136,54.03829575,"iPhone5,1",6.0.1,1.1
229,3/11/13 19:41,38.90732574,-77.06333923,83,"iPhone5,1",6.0.1,1.1
230,3/11/13 20:05,38.89716339,-77.07034302,62.57356644,"iPhone5,1",6.0.1,1.1
231,3/12/13 0:46,38.90498734,-77.061203,83,"iPhone5,1",6.0.1,1.1
232,3/12/13 0:55,38.90413666,-77.05334473,51.33226013,"iPhone5,1",6.0.1,1.1
233,3/12/13 1:10,38.89817047,-77.0318222,55.14867401,"iPhone5,1",6.0.1,1.1
234,3/12/13 1:25,38.89472198,-76.99023438,32.94543457,"iPhone5,1",6.0.1,1.1
235,3/12/13 11:50,38.88895798,-77.00950623,30.05421066,"iPhone5,1",6.0.1,1.1
236,3/12/13 12:01,38.89345169,-77.03242493,5.749472141,"iPhone5,1",6.0.1,1.1
237,3/12/13 12:30,38.89250183,-77.04631042,14.13403702,"iPhone5,1",6.0.1,1.1
